bank,classification,currency,early_redemption_fee,fund_name,inception_date,min_additional_participation,min_holding_period,min_initial_participation,min_maintaining_balance,navpu,risk_classification,settlement_date,trust_fee_structure
AB Capital Asset Management,Equity Fund,PHP,1.00 of the Principal,AB CAPITAL EQUITY FUND,2006-12-04,"10,000.00",30,"25,000.00","25,000",2.797781,Aggressive,T + 3,1.25 PA
AIA INVESTMENT MANAGEMENT AND TRUST CORPORATION PHILIPPINES,Equity Fund,PHP,0,AIA Peso Equity Fund,2023-02-17,100.00,0,"1,000.00","1,000",0.9575,Aggressive,T+3,0.3368
Asia United Bank,Equity Fund,PHP,0.50 of amount redeemed,Equity Investment Trust Fund,2006-05-04,"1,000.00",30,"10,000.00","10,000",249.67,Aggressive,T + 3 days,1.25 per annum based on the Net Asset Value (NAV)
ATRAM Trust Corporation,Equity Fund,PHP,none,ATRAM Philippine Sustainable Development and Growth Fund (A Unit Class),2021-02-17,50.00,0,50.00,50,94.882174,Aggressive,"Subscription: T + 0 business days, Redemption: T + 3 business days",1.75 p.a.
ATRAM Trust Corporation,Equity Fund,PHP,none,ATRAM Philippine Sustainable Development and Growth Fund (Y Unit Class),2021-02-17,50.00,0,"200,000,000.00","200,000,000",98.931906,Aggressive,"Subscription: T + 0 business days, Redemption: T + 3 business days",0.60 p.a.
Bank of Commerce,Equity Fund,PHP,5 of the redeemed amount,DIVERSITY DIVIDEND FOCUSED FUND,2015-04-08,"1,000.00",30,"10,000.00","10,000",0.640934,Aggressive,4,1.50 p.a. based on the Net Asset Value (NAV) accrued daily
"BDO Unibank, Inc.",Equity Fund,PHP,0.50 of the Original Participation Amount,BDO INSTITUTIONAL EQUITY FUND,2005-06-15,"1,000.00",30,"1,000.00",0,4227.4594,Balanced,Three (3) banking days after notice of redemption is received (T + 3),1.00 p.a.
"BDO Unibank, Inc.",Equity Fund,PHP,1.00 of the Original Participation Amount,BDO EQUITY FUND,2005-05-03,"10,000.00",30,"10,000.00","10,000",362.1472,Balanced,Three (3) banking days after notice of redemption is received (T + 3),1.00 p.a.
"BDO Unibank, Inc.",Equity Fund,PHP,1.00 of the Original Participation Amount,BDO DIVIDEND FUND,2013-10-18,"10,000.00",30,"10,000.00","10,000",89.675,Balanced,Three (3) banking days after the notice of redemption is received (T + 3),1.25 p.a.
"BDO Unibank, Inc.",Equity Fund,PHP,1.00 of the Original Participation Amount,BDO FOCUSED EQUITY FUND,2013-10-18,"10,000.00",30,"10,000.00","10,000",76.2938,Balanced,Three (3) banking days after the notice of redemption is received (T + 3),1.50 p.a.
