bank,fund_name,ytd
Manulife Investment Management and Trust Corporation,Manulife Asia Best Select Equity Fund (PHP Unhedged Class I),2.6330
AB Capital Asset Management,AB CAPITAL EQUITY FUND,1.9004
Manulife Investment Management and Trust Corporation,Manulife Asia Best Select Equity Fund (PHP Unhedged Class A),1.6192
Rizal Commercial Banking Corporation,RCBC R25 DIVIDEND EQUITY FUND,0.8561
Philippine National Bank,PNB HIGH DIVIDEND FUND,0.7595
Metropolitan Bank & Trust Co.,Metro High Dividend Yield Unit Paying Fund,-0.9974
LandBank of the Philippines,LANDBANK Blue Chip Equity Fund,-1.4931
LandBank of the Philippines,LANDBANK Equity Fund,-1.9899
LandBank of the Philippines,LANDBANK High Dividend Equity Fund,-2.5021
BPI WEALTH,BPI PHILIPPINE HIGH DIVIDEND EQUITY FUND,-2.9197
China Banking Corporation,CHINA BANK EQUITY FUND,-3.2920
China Banking Corporation,CHINA BANK HIGH DIVIDEND EQUITY FUND,-3.6659
"BDO Unibank, Inc.",BDO DIVIDEND FUND,-3.7943
Pru Life UK Investments,PRUInvest PHP Dynamic Equity Fund (Class I),-3.8970
Bank of Commerce,DIVERSITY DIVIDEND FOCUSED FUND,-4.0917
"BDO Unibank, Inc.",BDO FOCUSED EQUITY FUND,-4.2428
"BDO Unibank, Inc.",BDO ESG EQUITY FUND,-4.2677
Asia United Bank,Equity Investment Trust Fund,-4.3007
Manulife Investment Management and Trust Corporation,Manulife Equity Wealth Fund (Class I),-4.3428
"BDO Unibank, Inc.",BDO INSTITUTIONAL EQUITY FUND,-4.6451
Pru Life UK Investments,PRUInvest PHP Dynamic Equity Fund (Class A),-4.7335
LandBank of the Philippines,LANDBANK Alpha Equity Fund,-4.7927
Security Bank Corporation,SB PESO EQUITY FUND,-4.9009
BPI WEALTH,ODYSSEY PHILIPPINE EQUITY FUND,-4.9699
"BDO Unibank, Inc.",BDO EQUITY FUND,-4.9810
Security Bank Corporation,SB HIGH DIVIDEND PESO EQUITY FUND,-4.9871
Philippine National Bank,PNB EQUITY FUND,-5.0442
Metropolitan Bank & Trust Co.,Metro Equity Fund,-5.2213
Philippine Bank of Communications,PBCOM VALUE EQUITY FUND,-5.3688
Manulife Investment Management and Trust Corporation,Manulife Equity Wealth Fund (Class A),-5.3715
BPI WEALTH,BPI EQUITY VALUE FUND,-5.4971
Rizal Commercial Banking Corporation,RCBC R25 BLUE-CHIP EQUITY FUND,-6.2492
BPI WEALTH,ODYSSEY PHILIPPINE HIGH CONVICTION EQUITY FUND,-6.2727
Union Bank,UnionBank PHP Equity Fund,-7.4340
ATRAM Trust Corporation,ATRAM Philippine Sustainable Development and Growth Fund (Y Unit Class),-7.7320
Rizal Commercial Banking Corporation,RCBC EQUITY FUND,-8.0876
