inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Dec 4, 2006",PHP,Aggressive,"PHP 25,000.00",,"PHP 10,000.00","PHP 25,000.00",30 calendar days,12:00 PM,T + 3,1.25% PA,1.00% of the Principal,		,AB CAPITAL EQUITY FUND,Equity Fund,2.797781,AB Capital Asset Management,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=185&bank_id=29
"Dec 11, 2015",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount ,PSEi 					,BDO ESG EQUITY FUND,Equity Fund,96.833,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=266&bank_id=6
"Oct 18, 2013",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after the notice of redemption is received (T + 3),1.50% p.a.,1.00% of the Original Participation Amount,PSEi												,BDO FOCUSED EQUITY FUND,Equity Fund,76.2938,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=198&bank_id=6
"Oct 18, 2013",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after the notice of redemption is received (T + 3),1.25% p.a.,1.00% of the Original Participation Amount,PSEi																		,BDO DIVIDEND FUND,Equity Fund,89.675,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=197&bank_id=6
"May 3, 2005",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount,PSEi																,BDO EQUITY FUND,Equity Fund,362.1472,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=126&bank_id=6
"Jun 15, 2005",PHP,Balanced,"PHP 1,000.00",,"PHP 1,000.00",PHP 0.00,30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,0.50% of the Original Participation Amount,PSEi										,BDO INSTITUTIONAL EQUITY FUND,Equity Fund,4227.4594,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=127&bank_id=6
"Apr 8, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,11:30 AM,4,1.50% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,90% of the Philippine Stock Exchange Index (PSEi) and 10% of the one month yield based on the PHP BVAL														,DIVERSITY DIVIDEND FOCUSED FUND,Equity Fund,0.643203,Bank of Commerce,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=252&bank_id=5
"Feb 17, 2021",PHP,Aggressive,"PHP 200,000,000.00",,PHP 50.00,"PHP 200,000,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",0.60% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (Y Unit Class),Equity Fund,98.931906,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=405&bank_id=31
"Feb 17, 2021",PHP,Aggressive,PHP 50.00,,PHP 50.00,PHP 50.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",1.75% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (A Unit Class),Equity Fund,94.882174,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=404&bank_id=31
"May 4, 2006",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T + 3 days,1.25% per annum based on the Net Asset Value (NAV),0.50% of amount redeemed,90-day yield of the Philippine Stock Exchange Index (PSEi) ,Equity Investment Trust Fund,Equity Fund,249.67,Asia United Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=159&bank_id=4
"Feb 17, 2023",PHP,Aggressive,"PHP 1,000.00",,PHP 100.00,"PHP 1,000.00",0 calendar days,12:00 PM,T+3,0.3368%,0,100% Philippines Stock Exchange Index		,AIA Peso Equity Fund,Equity Fund,0.9575,AIA INVESTMENT MANAGEMENT AND TRUST CORPORATION PHILIPPINES,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=481&bank_id=42
"Sep 18, 2017",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,1.50% as a % p.a. of the NAV,N/A,Philippine Stock Exchange Index (PSEi)																					,Manulife Equity Wealth Fund (Class A),Equity Fund,0.7399,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=315&bank_id=39
"Apr 8, 2014",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,1.5%,5%,"			Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net).					",LANDBANK High Dividend Equity Fund,Equity Fund,0.87134,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=467&bank_id=9
"Sep 30, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,.75%,5%,"		Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net).				",LANDBANK Blue Chip Equity Fund,Equity Fund,0.96547,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=464&bank_id=9
"Jan 15, 2007",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,1.75%,5%,"		Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net)		",LANDBANK Alpha Equity Fund,Equity Fund,3.064662,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=461&bank_id=9
"Aug 1, 2016",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+3,1.50%,25% of net earnings (P500 minimum),"Percentage change of the closing PSEi, or in its absence, any available relevant or similar benchmark
		",LANDBANK Equity Fund,Equity Fund,0.795981,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=283&bank_id=9
"Jun 26, 2015",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+3,1.0% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,95% Philippine Stock Exchange Index (PSEi) + 5% Bloomberg Phil Sovereign Bond Index Money Market (BPHILMM)												,CHINA BANK HIGH DIVIDEND EQUITY FUND,Equity Fund,1.019497,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=256&bank_id=7
"Jun 11, 2013",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+3,1.0% based on NAV before trust fee for the day,1.0% of redemption proceeds,95% Philippine Stock Exchange Index (PSEi) + 5% Bloomberg Phil Sovereign Bond Index Money Market (BPHILMM)�� ���												,CHINA BANK EQUITY FUND,Equity Fund,1.155178,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=188&bank_id=7
